file,speaker,text
leader_014.wav,,"Man. Aight. It go wrong, it went wrong on YOU. Laws take it off you, that's your tab. Somebody take it off you, that's your tab AND everybody gon know somebody took somethin off you, which is worse. And I ain't comin to find you neither, I'm too old for all that. I'm just gon stop pickin up. Out here that's the same thing."
leader_015.wav,,"Nah. We don't take people in off the street, and you ain't people. You want to buy somethin', that's different. That I'll do all day."
leader_016.wav,,I already told you. The port. Go see the man.
leader_017.wav,,You still standing here? Elysian Island. Dock boy. Go.
leader_018.wav,,"You got it? Good. Don't bring it to me on no corner, dawg -- the yard. You know the one. I'll be stood in it."
leader_019.wav,,Ask me again in a minute.
leader_020.wav,,"Alright. You earned the answer, so here go the answer: it's a boat. Elysian Island, down the port. Man down there pulls it off the containers before anybody counts 'em. Go see him, tell him I sent you -- he'll put somethin' in your hands. Bring that straight back to the yard and don't open it on the way."
leader_021.wav,,How much you want?
leader_022.wav,,How much
leader_023.wav,,You got nowhere to put it. Come back with empty pockets.
leader_024.wav,,That's
leader_025.wav,,"Man, your bag already full. What you askin me for?"
leader_026.wav,,Ain't got nothin spare right now.
leader_027.wav,,"Look at you. Broke, standin' in my yard askin' for somethin'. Aight --"
leader_028.wav,,"Aight, you been out there once and you came back. Second one's different --"
leader_029.wav,,"Twice. That's it, that's the whole thing. You take a bag off me, you move ALL of it -- not most, all -- and you bring yourself back here. Then I give you a second one and you do it again."
leader_030.wav,,"Then you ain't a stranger no more and I put you on to where I get mine. That's the port, dawg, and that's bricks -- proper weight, proper money, the kind you gotta take home and cut yourself. Everything after that is yours. Two bags is just me findin' out if you gon' come back."
leader_031.wav,,You got nowhere to put it. Sort yourself out first.
leader_032.wav,,"Go on then. And don't be standing round here with it neither, that's my corner."
leader_033.wav,,You still holding
leader_034.wav,,"Twice now. Took it, moved it, brought it back, didn't eat none of it and didn't get got. Aight -- you been askin' where I get mine. I'm done pretendin' I didn't hear you."
leader_035.wav,,"That's one. Take ONE more off me, same as that, move all of it and bring yourself back -- then I'll tell you where it all comes from."
leader_036.wav,,"Aight. You took it, you moved it, you came back. That's three things most people don't do. So we can talk about you bein' one of us now -- and then you're takin' ONE more bag off me, same as that one, and after that I tell you where it all comes from."
leader_037.wav,,You lost it. Course you did. That's on your tab and everybody's gonna hear about it. Get out my face and come back when you ready to work it off.
leader_038.wav,,There you go.
leader_039.wav,,Ours is
lamar_001.wav,Lamar,"Aight so. Hear me out. That grow I been settin' up? Lights, fans, all that -- that's real money, dawg, and I ain't got it. One man in there, one till, and them cameras been dead since we was in school. That's my seed money sittin' on a counter and you the one with the steady hands."
tao_cheng_001.wav,Tao Cheng,"Ayy. You Gerald guy. Okay okay, I see you, I see you. So peep game, my dude: NOTHING come off a boat in this yard unless I say it come off. Nothing. My family own this -- like, the actual paperwork, bro, not some little handshake thing. So don't be askin' me whose it is, don't ask me how often, 'cause that's not a question you ask a man in my position. You feel me? Say you feel me."
tao_cheng_002.wav,Tao Cheng,"Man, whose -- CHENG. It's Cheng, my dude. Wei Cheng. That's my old man, that's his name on every piece of paper in this yard and every boat that ties up on it. Which make it mine. Eventually. Obviously. Look -- he don't need to know every little thing that move through here, that's not, like. That's not efficient. He's got a whole ORGANISATION, bro, he can't be countin' boxes. So this stay between us. Yeah? Yeah."
tao_cheng_003.wav,Tao Cheng,"...He knows what he need to know. Okay? He's a busy man. Ay -- ay, why you askin' me that. Why would you ask me that. Nah, we good, we good, it's nothin'. Go get your truck, my guy. Go on. Bay one."
tao_cheng_004.wav,Tao Cheng,"BET. Okay so -- you get a number, you call the number, thing show up, you pay for the thing. Congratulations, you in the import business, my guy. Now go round the back of the sheds, near bay one, back it in, nose out. My guys ain't carryin' nothin' further than they gotta and they ain't gonna ASK you to move, they just gonna stand there and hate you. And listen -- it's gone five. I got a bottle at the crib older than you with my actual name on the label. So park it correct and don't make this my whole evening. Please."
gerald_001.wav,Gerald,"THE FENCE DAWG! ...ah fuck it, that janky ass fence needed replacin' anyway. Aight. Leave it where it is, I got people for that. And quit standin' there lookin' at me like I'm finna say somethin' -- it's done, that's the whole thing. You got his number now so you call him your damn self, I ain't sittin' in the middle of nobody's business. All I did was say you was solid. Don't make me look stupid for it."
gerald_002.wav,Gerald,You the one Lamar keep bringin' up. Aight. Talk.
gerald_003.wav,Gerald,"Far as anybody need to know, you run with us. That's it, that's the whole ceremony. Now -- I don't wanna see you again til that bag's empty. Not halfway. Empty."
gerald_004.wav,Gerald,Lamar talk about you like you somebody. I ain't seen it yet. Go make him right.
gerald_005.wav,Gerald,We already did this part. Go work.
og_reese_001.wav,OG Reese,"Hold up. Who your people? 'Cause I know everybody out here, and I don't know you."
og_reese_002.wav,OG Reese,"Purple look alright on you. Don't get comfortable in it. Somebody gon' be watchin' how you move for a while, and it ain't gon' be me -- you won't know which one he is. That's the job."
og_reese_003.wav,OG Reese,I been out here since before you could walk. You think you the first one come up to me askin'? Go get a name.
og_reese_004.wav,OG Reese,I know who you are. Go on.
el_tio_001.wav,El Tio,"Ey. You looking for something, or you lost? Around here those are different problems."
el_tio_002.wav,El Tio,"Bueno. Understand me -- this is not a job. This is a debt. Everything in that bag moves on my name, and my name is not free. You break it, I take it back out of you."
el_tio_003.wav,El Tio,"You want me to put my name on a stranger. No. Bring me somebody who will say your name out loud, and then we can owe each other something."
el_tio_004.wav,El Tio,Ya. You're mine. Go.
chavo_001.wav,Chavo,You standing in the wrong place to be asking questions.
chavo_002.wav,Chavo,"You're in. Nobody claps. You start where everybody starts, which is carrying what you're given and not asking what's in it."
chavo_003.wav,Chavo,No. Nobody has said your name to me.
chavo_004.wav,Chavo,You're one of ours. What else.
bull_001.wav,Bull,"You ain't wearing a patch, so make it quick."
bull_002.wav,Bull,"You're a hangaround. Not a prospect, not a member -- a hangaround. Hangarounds fetch. Fetch long enough and somebody might put your name up at church. Might."
bull_003.wav,Bull,Hangarounds earn it. You ain't hung around. There's a difference and you'll learn it standing over there.
bull_004.wav,Bull,You ride with us already. So go ride.
uncle_wei_001.wav,Uncle Wei,You are not expected. Speak.
uncle_wei_002.wav,Uncle Wei,"You may carry for us. Understand what that is, and what it is not. There are men who have worked thirty years and are still outside this family. You are not inside it. You are useful. That is a different word."
uncle_wei_003.wav,Uncle Wei,"You have done nothing, and I have no interest in what you intend to do. Go."
uncle_wei_004.wav,Uncle Wei,You work for us already. Do so.
sarkis_001.wav,Sarkis,You want something. Everybody wants something.
sarkis_002.wav,Sarkis,"Fine. You carry, I pay, and we find out what you are worth. Be careful what you show me first -- whatever I decide you are worth today is what you will be worth to me for as long as I know you."
sarkis_003.wav,Sarkis,"You are nobody, and nobody is worth nothing. Change that and we will talk about numbers."
sarkis_004.wav,Sarkis,You are already mine. What do you want?
chuy_001.wav,Chuy,This is Banning. Nobody comes to Banning by accident. So which is it?
chuy_002.wav,Chuy,"Alright. You're not from here, so listen -- you don't say our name anywhere off this block, you don't bring nobody back here with you, and you never come looking for me at my house. Do that and there's always something to carry."
chuy_003.wav,Chuy,Your face isn't from here. Neither is your family. Round here that's the same as not existing. Go and exist somewhere else first.
chuy_004.wav,Chuy,You're with us. So stop standing out in the open like a tourist.
mr_kim_001.wav,Mr Kim,"Yes? Be quick. I am polite, not patient."
mr_kim_002.wav,Mr Kim,"Very well. Two rules, and they are the same rule twice. Nothing loud. Nothing that ends up on somebody's phone. What you sell is your business. What people remember about it is mine."
mr_kim_003.wav,Mr Kim,"No. There is nothing written next to your name yet, and I do not do business with a blank page."
mr_kim_004.wav,Mr Kim,We have an arrangement. Do not spend it standing here.
tao_cheng_005.wav,Tao Cheng,Ayy. This the address? This the address. Okay.
tao_cheng_006.wav,Tao Cheng,"Engine stay on, my dude. That's not rude, that's business."
tao_cheng_007.wav,Tao Cheng,I drove this one myself. MYSELF. Think about that.
tao_cheng_008.wav,Tao Cheng,"Off a boat at five, on your lawn by two. That's my day."
tao_cheng_009.wav,Tao Cheng,Nice street. Lot of windows on it tho.
tao_cheng_010.wav,Tao Cheng,"You could came to the port, bro. There's a gate and everything."
tao_cheng_011.wav,Tao Cheng,This is heavy. Don't just stand there lookin'.
tao_cheng_012.wav,Tao Cheng,At the yard I got a forklift for this. Out here I got arms.
tao_cheng_013.wav,Tao Cheng,"Nah. I'm not makin' two trips, my guy."
tao_cheng_014.wav,Tao Cheng,"Anybody ask, this a television."
tao_cheng_015.wav,Tao Cheng,Ten steps of driveway. Nobody paid me for these ten.
tao_cheng_016.wav,Tao Cheng,Door. Any time now.
tao_cheng_017.wav,Tao Cheng,Weight correct. It's always correct.
tao_cheng_018.wav,Tao Cheng,Keep the box. I don't want it back and I don't want it in your trash.
tao_cheng_019.wav,Tao Cheng,"Sealed at the port, opened by you. Nothin' in between."
tao_cheng_020.wav,Tao Cheng,Get it inside before you get curious.
tao_cheng_021.wav,Tao Cheng,"Delivered. That's the whole ceremony, bro."
tao_cheng_022.wav,Tao Cheng,Don't drag it. Lift it. It's not a suitcase.
tao_cheng_023.wav,Tao Cheng,I got a container due in at six. This was the detour.
tao_cheng_024.wav,Tao Cheng,The people I answer to like a quiet week. See they get one.
tao_cheng_025.wav,Tao Cheng,"Goin' back to the water. Smells worse, asks less."
tao_cheng_026.wav,Tao Cheng,"Anything go wrong, it went wrong after I left."
tao_cheng_027.wav,Tao Cheng,"Same number, same hours. Don't get creative with either."
tao_cheng_028.wav,Tao Cheng,That's me. Go inside.
gerald_006.wav,Gerald,"You called, I came. Don't make that a habit."
gerald_007.wav,Gerald,"I'm double parked, dawg. That's your problem now."
gerald_008.wav,Gerald,"Out my yard, cross town, for this."
gerald_009.wav,Gerald,Quiet street. Keep it that way.
gerald_010.wav,Gerald,This ain't what I do. This a favour with a price on it.
gerald_011.wav,Gerald,"Make it quick, I got somewhere to be."
gerald_012.wav,Gerald,It ain't heavy. It's just not somethin' to be holdin' in the open.
gerald_013.wav,Gerald,Ten steps up a driveway. I don't do driveways.
gerald_014.wav,Gerald,Somebody watchin' this? 'Cause somebody always watchin'.
gerald_015.wav,Gerald,"Move, dawg. I ain't stood out here all day."
gerald_016.wav,Gerald,Front door. Not the step. In.
gerald_017.wav,Gerald,This the last time I'm the one carryin'.
gerald_018.wav,Gerald,"That's yours. Count it if you want, it's right."
gerald_019.wav,Gerald,Take the bag too. Don't leave it in your bin.
gerald_020.wav,Gerald,Get it inside 'fore somebody see it.
gerald_021.wav,Gerald,There. Done. That's the whole thing.
gerald_022.wav,Gerald,"Weight's right. It's always right, that's why you call me."
gerald_023.wav,Gerald,Now it's your problem. Look after it.
gerald_024.wav,Gerald,Aight. Don't call me for nothin' small.
gerald_025.wav,Gerald,Next time have somethin' worth the drive.
gerald_026.wav,Gerald,I'm gone. You ain't seen me.
gerald_027.wav,Gerald,Same number. Don't wear it out.
gerald_028.wav,Gerald,Go on inside. Standin' there don't help neither of us.
gerald_029.wav,Gerald,That's me. Go make some money with it.
tao_cheng_029.wav,Tao Cheng,"Gerald's people. Gerald's. Yeah. Keep it quiet, keep it quick, and whatever's in the box -- I get it off the box. That's the. that's the whole business, right there."
tao_cheng_030.wav,Tao Cheng,"Bricks. I deal in bricks, nothing smaller, dont ask. So say what, and say how many. In that order please."
tao_cheng_031.wav,Tao Cheng,Where do I get it. Where do I -- man. I AM where you get it. I'm the. yeah. me.
tao_cheng_032.wav,Tao Cheng,"Go on. Go. And dont come back in daylight if youre carryin, thats. thats just manners."
gerald_030.wav,Gerald,"You called, I came. That's the last thing that comes free. What you need."
gerald_031.wav,Gerald,"I ain't the port and I ain't a warehouse. Weed, pills, bars. Say what, say how much."
gerald_032.wav,Gerald,Where I get it ain't your business yet. Move enough of mine and it'll be your business.
gerald_033.wav,Gerald,Not yet. Keep workin'.
gerald_034.wav,Gerald,"Aight. And next time, have somethin' worth callin' me about."
